English ,Oshiwambo ,Aa-ndonga ,Aa-kwambi ,Aa-mbalanhu ,Aa-kwaluudhi ,Aa-kwanyama,Aa-ngandjera,Aa-mbandja
,Omupangi,Omupangi,omupangi,Omupangi,omupangi,Omupangi,omupangi,
,Omupanguli,Omupanguli,omupanguli,Omupanguli,omupanguli,Omupanguli,omupanguli,
,Omukwatheli,Omukwatheli,omukwatheli,Omukwafeli,omukwatheli,Omukwafeli,omukwatheli,
,Omupresidenta,Omupresindente,omupelesitende,0mupelestende,omupelesitende,Omupeleshidende,omupresidenta,
,Ependa esindani,Ependa esindani,ependa esindani,ependesindani,ependa esindani,Ependa-efindani,ependa esindani,
,Omweedithi gwinima pokati,Oweendithi gwiinima pokati,omweendithi gwiinima pokati,omutopoli,omwendithi gwiinima,Omweendifi-woinima pokati,omweedithi gwinima pokati,
,Ongeleka,Ongeleka,ongeleka,Ongeleka,ongeleka,Ongeleka,ongeleka,
,Osikola,Osikola,osikola,oskola,osikola,Ofikola,osikola,
,Oshiputudhilo shopombanda,Oiputudhilo sho pombanda,otshiputudhilo tshopombanda,Oshiputuvilo shopombanda,otshiputudhilo tshopombanda,Oshiputudilo shopomada,oshiputundhilo shopombanda,
,Ongulu,Ongulu,ongulu,Ongulu,ongulu,Ongulu,ongulu,
,Ongulumambo,Ongulumambo,ongulumambo,Ongulumambo,ongulumambo,Ongulumambo,ongulumambo,
,Ondunda yokulala,Oonda yokulala,okalili,Onduda yokunangala,okalili,Onduda yoku nangala,oonda yokulala,
,Ondunda yokupungula,Oonda yokupungula,ondunda huupungulo,Ondunda yokusiikilila,ondunda huupungulo,Onduda yoku tuvikila,oonda yokulala,
,Ohauto,Oshihauto,ehauto,Ohauto,ehauto,Otuwa,ohauto,
,Mbakumbaku,Mbakumbaaku,embakumbaku,Mbakumbaku,embakumbaku,Embakumbaku,mbakumbaku,
,Ololi,Ololi,eloli,ololi,eloli,Ololi,ololi,
,Oshitukutuku,Oitukutuku,otshitukutuku,oshihauto,otshitukutuku,Oshitukutuku,oshitukutuku,
,eso,eso,eso,Eso,eso,Efyo,eso,
,Okwiitedhulula,Okwiitedhulula,okwiidheula,Okwiitevulula,okwiidheula,Okwi ndilulula,okwiitedhulula,
,Okushanga,Oku nyola,okunyola,Omusita,okunyola,Okushanga,okushanga,
,Okandjugo,Okandjugo,okandjugo,Okandjuwo,okandjugo,Okandjuwo,okandjugo,
,Okalikoshelo,Okaiyogelo,okiikoshelo,Okaikohelo,okiikoshelo,Okashauna,okalikoshelo,
,Okugalikana,Okugalikana,okugalikana,Okwaalikana,okugalikana,Okwiilikana,okugalikana,
,Okumanguluka,Oku manguluka,okumanguluka,Okumanguluka,okumanguluka,Okumanguluka,okumanguluka,
,Okulima,Okulima,okulima,Okulima,okulima,Okulima,okulima,
,Okupulula,Okupulula,okupulula,Okupulula,okupulula,Okupulula,okupulula,
,Okwiikosha,Okwiiyoga,okwiikosha,Okwiikoha,okwiikosha,Okwiikosha,okwiiyoga,
,Okunuka,Okunuka,okunuka,Okunhuka,okunuka,Okunuka,okunuka,
,Mombanda,Mombanda,mombanda,Mombada,mombanda,Pombada,mombanda,
,Pevi,Pohi,poshi,Pevu,poshi,Pedu,poshi,
,omweelo,Omweelo,omweelo,Omweelo,omweelo,Omuvelo,omweelo,
,Olusheno,Olusheno,olutsheno,Olusheno,olutsheno,Olusheno,olusheno,
,omundilo,Omulilo,omulilo,Omundilo,omundilo,Omundilo,omulilo,
,ombosha,Omboha,ombosha,Omboha,ombosha,Omboxa,ombosha,
,Oshipeleki,Oshipeleki,otshipeleki,Oshipeleki,otshipeleki,Oshipeleki,otshipeleki,
,Oshitenda,Oshitenda,otshitenda,Oshitenda,otshitenda,Oshitenda,otshitenda,
,Oshange,Oshandje,otshange,Oshange,otshange,Oshange,otshange,
,oshipululo,Oshipululo,otshipululo,Oshipululo,otsipululo,Oshipululo,otshipululo,
,Okatana,Okatana,okatana,Okatana,okatana,Okatana,okatana,
,Ekatana,Ekatana,ekatana,Ekatana,ekatana,Ekatana,ekatana,
,oshikombo,Oshikombo,otshikombo,Oshikombo,otsikombo,Oshikombo,ekombo,
,okakombwena,Okakombwena,okakombwena,Okakombwena,okakombwena,Okakombwena,okakombwena,
,Omagungu,Omagungu,omagungu,Omaungu,omagungu,Omaungu,omagungu,
,Ombiibeli,Ombiimbeli,ombiimbeli,Ombiibeli,ombiimbeli,Ombiimbeli,ombiimbeli,
,Okatikisa,Okatikisa,okatikisa,Okatikisa,okatikisa,Okatikisha,okatikisa,
,Oshililo,Uulalelo uuyapuki,otshililo,Oshililo,otshililo,Uuvalelo uyapuki,uulalelo uuyapuki,
,Ongalo,Ongalo,ongalo,Ongalo,ongalo,Ongalo,ongalo,
,Ohapu,Ondjovo,Ohapu,Ohapu,ohapu,Eendjovo,,
,Omukunda,Omukunda,omukunda,okumatuka,omukunda,Omukunda,omukunda,
,okutondoka,Okutondoka,okumatuka,Okutondoka,okutondoka,Oku matuka,okutondoka,
,Okweenda,Oku enda,okweenda,Okweenda,okweenda,Okweenda,okweenda,
,Okulila,Oku lila,okulila ,Okulila,okulila,Oku kwena,okumwena,
,Oshikumbu,Oikumbu,otshikumbu,Okushanga,otshikumbu,Oshixwanga,oshikumbu,
,Okuteleka,Oku teleka,okuteleka,Okuteleka,okuteleka,Oku teleka,okuteleka,
,okushongola,Oku tina,okushongola,Okushongona,okushongola,Oku tina,okushongola,
,Okulundila,Oku lundila,okulundila,Okulundila,okulundila,Oku lundila,okulundila,
,Okulala,Oku lala,okulala,Okunangala,okulala,Oku nangala,okulala,
,Okugeya,Oku geya,okugeya,Okuhanduka,okugeya,Oku handuka,okugeya,
,Okunika,Oku nika,okunika,Okunika,okunika,Oku nhika,okunika,
,kokule,Ko kule,kokule,kokule,kokule,Ko kule,kokule,
,popepi,Popepi,popepi,popepi,popepi,Po pepi,popepi,
,Oku kumagidha,Oku kumagidha,oku kumagidha,Oku kumayiva,oku kumagidha,Okutwa omhukumo,okukumagidha,
,Okwiingidha,Oku igidha,okwiigidha,Okwiingiva,okwiigidha,Okwiingida,okwiigidha,
,Okulilagana,Okulilagana,Okulilaana,Okulilaana,okulilagana,Okukwenauka,,
,Takamitha,Takayitha,takamitha,Takamisha,takamitha,Taka mifa,takamatha,
,Eyoka,Eyoka,eyoka,Eyoka,eyoka,Eyoka,eyoka,
,Ombome,Ombome,ombome,Ombome,ombome,Ombome,ombome,
,Ondje,Ondje,ondje,Ondje,ondje,Ondje,ondje,
,Ondjamba,Ondjamba,ondjamba,Ondjamba,ondjamba,Ondjaba,ondjamba,
,Oshiboloma,Oimboloma,otshimboloma,Onghoshi,otshimboloma,Oshimboloma,otshimboloma,
,Ekatalume,Ewaya,ekatalume,Ekatalume,ekatalume,Evaya,ekatalume,
,Enyakwa,Ondjumbeta,enyakwa,Enyanhwa,enyakwa,Enyakwa,enyakwa,
,Kayale kopeendjila,Kaale kopoondjila,kaale kopeendjila(kalegetse),Kaale kopeendjila,kaale kopeendjila(kalegetse),Kavale kopeendjila,kaale kopeendjila,
,Okambishi,Mbishi,okambishi,Okambishi,okambishi,Okambishi,okambishi,
,Omahandjangali,Omahandjangali,omaantagali,Omaghandja,omaantagali,Omahandja,omaantagali,
,Nekefo,Ekefo,nakafo,Okalya,nakafo,Oonyova,nakafo,
,kashima,kahima,kashima,kahima,kashima,Kashima,kashima,
,Edhiya,Edhiya,edhiya,Eviya,edhiya,Ondombe,edhiya,
,Emanya,Emanya,emanya,Emanya,emanya,Emanya,emanya,
,Odopi,ondhopi,odhopi,Ondopi,odhopi,Odopi,odhopi,
,Ofundasi,Ofundasi,ofunasi,Ofundasi,ofunasi,Ofundasi,ofundasi,
,Ondundu,Onganga,onganga,Ondudu,onganga,Onganga,onganga,
,Okupanga,Okweelula,okupanga,Okuhakula,okupanga,Okuvelula,okweeludha,
,Oluko,Olyuko,oluko,Oluko,oluko,Oluko,oluko,
,Ohula,Oxwexwe,oshula,ohole,oshula,Oxula,oshula,
,Ombilive,ontumwafo,ombaapila,ombilive,ombaapila,Ombilive,ombaapila,
,omushokolo,ilyaalyaka,iilyaalyaka(omutshokolo),omushokolo,iilshokolo,Oilyavala,omutshokolo,
,Ondumbo,Ondumbo,efupa,ondumbo,efupa,Ondubo,efupa,
,oluhepo,Oluhepo,olweepo,oluhepo,olwhepo,Oluhepo,olweepo,
,Oshipango,oshipango,otshipango,oshipango,odshipango,Oshipango,otshipango,
,Simaneka,simaneka,simaneka,simaneka,simaneka,Fimaneka,simaneka,
,Manguluka,manguluka,mangaluka,manguluka,mangulika,Manguluka,manguluka,
,Eitavelo,eitaalo,eitaalo,eyitaalo,eitaalo,Eitavelo,eitaalo,
,Uutalala,Uutarara,Uutalala,uutalala,uutalala,Outalala,,
,Yamukula,Itaala,Itayela,amukula,iteela,Itavela,,
,Kambadhala,Kambadhara,Kambadharee,kambavala,kambadhala,Kambadhala,,
,Uupyu,Uutsu,Uupyu,uupyu,uupyu,Oupyu,,
,Eilongo,eilongo,eyilongo,eilongo,eilongo,Elihongo,eilongo,
,Eidhidhimiko,eidhidhimiko,eidhidhimiko,eivivimiko,eidhidhimiko,Eidhidhimko,eidhidhimiko,
,mwena,mwena,mwena,mwena,mwena,Mwena,mwena,
,mweneni,mweneni,mweneni,mweneni,mweneni,mweneni,mweneni,
,eimweneneno,eimweneno,eimweneneno,eyimweneno,eimweneneno,Eimweneneno,eimweneneno,
,okumona,okumona,okumona,okumona,okumona,Okutala,okutala,
,etegelelo,etegelelo,etegelelo,eteelelo,etegelelo,Eteelelo,etegelelo,
,Ino kala,ino kala,ino kala,ino kala,ino kala,Ino kala,ino kala,
,Ookalunga vavali,ookalunga yaali,ooKaunga yaali,ookalunga yaali,ookalunga yaali,Ookalunga vavali,ookalunga yaali,
,Pamwe naye,pamwe naye,pamwe naYe,pamwe naye,pamwe naye,Pamwe naye,pamwe naye,
,Ino popya edina,ino tonga edhina,ino popya edhina,ino popya evina,ino popya edhina,Ino popaya edina,ino popya edhina,
,omuthigona,omuthigona,omuthigona,omufiona,omuthigona,Omufyoona,omuthigona,omusoona
,oshinyanga,oshinyanga,oshoto,oshoto,otshoto,Oshinyanga,,oshoto
,olukateko,oluhwati,olwaati,olukateko,olwkateko,Olukateko,olwaati,olukateko
,oluvanda,Olwaanda,olwaanada,olwaanda,olwvanda,Oluvanda,olwaanda,oluvanda
,efiya,esiga,esiga,esiya,esiya,Efiya,esiga,efiya
,epata,elugo,elugo,epata,eluta,Epata,elugo,epata
,eyemele,eemele,ehela,eyela,ehemele,Ehemele,ehemele,evela
,ongodhi,ongodhi,ongodhi,ongovi,ongodhi,Ongodi,ongodhi,ongodi
,Oxwiki,Oohwiki,omafufu,eehuki,omafufu,Eexwiki,omafufu,eehuki
,ombinzi,ombinzi,ombinzi,ombizi,ombinzi,Ohonde,ombinzi,ohonde
,ondjugo,ondjugo,ondjugo,ondjuwo,ondjugo,Ondjuwo,ondjugo,ondjuwo
,Ohema yenhulo,ohema yoontulo,ohema yeentulo,ohema yeenhulo,ohema yeentulo,Ohema Yeenhulo,ohema yeentulo,ohema yeenhulo
,ojalifo,ozalitho,ozalitho,ozalifo,ozalifo,Odjalifo,ozalitho,ojalifo
,oonghali,oonkali,eesa,eenghali,eesghali,Eenghali,eesa,eenghali
,uudhigu,uudhigu,uudhigu,uuviyu,uudhigu,Uudjuu,uudhigu,uudjuu
,elyenge,ejenge,elyenge,elyenge,elyenge,Elyenge,elyenge,elyenge
,oshithidhi,oshithindi,otshithindi,oshifivi,otsithidhi,Oshifidi,oshithindi,oshifidi
,Oshifini,Oshithini,otshithini,oshifini,otshithini,Oshifini,oshithini,oshifi
,oveta,ompango,ompango,oveta,ompta,Omango,ompango,oveta
,Okukuwilila,okuligola,okuligola,okukwiilila,okuligola,Okukuwilila,okuligola,okukwiilila
,odhelela,ondhelela,ompuku,ovelela,ompelela,Odelela,ompuku,odelela
,Odi,onzi,onzi,ozi,onzi,Odi,onzi,oji
,oluvanda,Olwaanda,Olwaanda,olwaanda,olwaanda,Oluvanda,,oluvanda
,Eendjedi,oombezi,eembezi,eembezi,eembezi,Eendjedi,eembezi,eembeji
,ombidi,omboga,omboga,ombivi,ombidi,Ombidi,omboga,ombidi
,oshingome,oshikwiila,oshima,ohima,oshingome,Omungome,oshikwiila,oshingome
,oshingali,oshigali,oshigali,onghonda,oshingali,Oshingali,oshigali,oshingali
,Oshifima,oshimbobo,oshuithima,oshifima,oshithima,Oshifima,oshithima,oshifima
,ombike,ombike,ombike,owalende,ombike,Owalende,ombike,owalende
,Odikwa,ondhikwa,ondhikwa,ovikwa,ondhikwa,Odikwa,ondhikwa,odikwa
,ongodhi yokuhondja,onane,ongodhi yokuhondja,ongovi yokuhondja,ongodhi yokuhondja,Ongodi yokuhondja,ongodhi yokuhondja,ongodi yokuhondja
,owenda,owenda,owenda,owenda,owenda,Ovenda,owenda,ovenda
,Omwifi,olwithi,olwithi,omwifi,olwithi,Omwifi,olwithi,omwifi
,Ondjimbololo,onzimbogo,onzimbogo,ozimbolo,ozimbogo,Ondjibololo,onzimbogo,ondjibololo
,Onyofi,onyothi,onyothi,onyofi,onyothi,Onyofi,onyothi,
,Omwedi,omwedhi,omwedhi,omwevi,omwedhi,Omwedi,omwedhi,
,Iilemo,Iikogo,iikogo,iikoo,iikogo,Iilemo,iikogo,
,odula,omvula,omvula,ovula,omvla,Odula,omvula,
,ombudhi,ombudhi,ombudhi,ombuvi,ombudhi,Ombudi,ombudhi,
,Onkalo,onkalo,onkalo,onghalo,onkalo,onghalo,onkalo,
,omagadhi,omagadhi,omagadhi,omaavi,omagadhi,omaadi,omagadhi,
,ompadhi,ompadhi,ompadhi,omhavi,ompadhi,omhadi,ompadhi,
,omwiidi,omwiidhi,omwiidhi,omwiivi,omwiidi,Omwiidi,omwiidhi,
,onghanga,onkanga,onkanga,onghanga,onkhanga,Onghanga,onganga,
,edalo,evalo,evalo,evalo,evalo,Edalo,evalo,
,omuhoka,omahoka,omuhoka,omhoka,omuhoka,Omunghoka,omuhoka,
,Uusila,uusila,uusila,uusila,uusila,Uufila,uusila,
,Okayemele,Okayemele,okahela,okaemhele,okahela,Okavela,okeemele,
,Olute,Ongete,Ehela,Eela/Eyela,ongete,Olute,,
,Oshipale,Olupale,Olupale,Oshipale,otshiple,Oshipale,,
,Odimbo,Odhimbo,Odhimbo,Ondimbo,ondhimbo,Odibo,,
,Ongalo,Ongalo,ongalo,Ongalo,ongalo,Ongalo,ongalo,
,Ekopi,ekopi,ekopi,Ekopi,ekopi,Okaneka,ekopi,
,Elilo,okalilo,otshililo,Okalilo,otshililo,Elilo,otshitelekelwa,
,Okaando,okayando,okahando,Okaando,okaando,Okavando,okaando ,
,Ombale,olwaale,olwaale,Ombale,olwaale,Ombale,olwaale,
,Oluko,oluko,oluko,Oluko,oluko,Oluko,oluko,
,Oshiyuma,oshiyuma,otshiyuma,Oshuma,otshuuma,Oshitoo,oshiyuma,
,Etiti,etiti,etiti,Etiti,etiti,Etiti,etiti,
,Obabi,ombambi,ombambi,Ombambi,ombambi,Ombabi,ombambi,
,Ondunda,Oonda,ondunda,Onduda,ondunda,Onduda,ondunda,
,Oshini,oshini,otshini,Oshini,otshini,Oshini,otshini,
,oshigadhi,oshigadhi,eshisha,Eyanda/Eanda,eshisha,Evanda,ehanda,
,ondunda yokupungula,oonda yokupungula,okalugona,Elimba,okalogona,Elimba,okalugona,
,ondjila,epola,ondjila,Ondjila,ondjila,Ondjila,ondjila,
,epya,epya,epya,Epya,epya,Epya,epya,
,onduda yokutema,oonda yokutema,ondunda hokutema,Onduda-yokutema,ondunda hokutema,Onduda-yoshakalwa,ondunda yokutema,
,ongaya,ongaya,ongawa,Ongaa/Ongaya,ongaaa,Ongava,ongaa,
,opena,opena,opena,Opena,opena,Opena,opena,
,ongodhi,ongodhi,ongodhi,Ongovi,ongodhi,Ongodi,ongodhi,
,ekala,ekala,ekala,Ekala,ekala,Ekala,ekala,
,ombiga,ombiga,ombiga,Ombiya,ombiga,Ombiya,ombiga,
,omagadhi,omagadhi,omagadhi,Omaavi,omagadhi,Omaadi,omagadhi,
,ongwiya,onane,ongwiya,Ongwiya,ongwiya,Ongwiya,ongwiya,
,endini,ondini,endini,endini,endini,Endini,endini,
,oshikola,okawupa,okakola,Okakola,otshikola,Oshikola,okakola,
,Oshitoo,oluyo,oluho,Oluyo,oluho,Elwiyo,oluyo,
,oshinyanga,oshinyanga,otshaale,Oshoto,otshoto,Olupale,otshoto,
,omeya,omeya,omeya,Omeya,omeya,Omeva,omeya,
,omagadhi goongombe,omagadhi goongombe,omagadhi geengombe,Omaavi-Yeengobe,omagadhi geengombe,Omaadi-eengobe,omagadhi geengombe,
,oshiyaha,oshiyaha,otshiyasha,Oshiyaha,otshaasha,Oshiyaxa,otshiwasha,
,ongaku,Olukaku,ongaku,Onghaku,ongaku,Onghaku,ongaku,
,oshihumbatitho,oshihumbatelo,otshuumbatelo,Onghata,otshuumbatelo,Onghata,oshuumbatelo,
,omwiidhi,omwiidhi,omwiidhi,Omwiivi,omwiidhi,Omwiidi,omwiidhi,
,ekoye,enkolo,ekowe,Ekoye/Ekoe,ekowe,Ekove,ekowe,
,oompadhi,oompadhi,eempadhi,Eemhavi,eempadhi,Eemadi,eempadhi,
,Etangala,eteta,eteta,Etangala,etete,Etangala,eteta,
,omafufu,omafufu,omafufu,Eehuki,omafufu,Eexwiki,omafufu,
,odoloma,ehwalu,endoloma,Ondoloma,ondoloma,Ondoloma,ondoloma,
,ongulu,ongulu,ongulu,Ongulu,ongulu,Ongulu,ongulu,
,omuthima,omuthima,omuthima,Omufima,omuthima,Omufima,edhiya,
,esiga,esiga,esiga,esiya,esiga,Efiya,esiga,
,otombo,otombo,otombo,Otombo,otombo,Otombo,otombo,
,ondama,ondama,etale,Etale,etale,Etale,etale,
,oshikumbatha,oshinguma,ekumbatha,Ekumbafa,ekumbatha,Ekumbafa,ekumbatha,
,ombete,ombete,ombete,Ombete,ombete,Ombete,ombete,
,ondoongi,ondoongi,ondoongi,Ondoogi,ondoongi,Ondongi,ondoongi,
,,okayelemani,okayelemani,Okahelemani,okayelemani,Ondjele,okayelemani,
,,okanyenti,okanti,Haluni,okanti,Haluni,okanti,
,oshipakete,oshipakete,otshipakete,Oshipakete,oshipakete,Oshipakete,otshipakete,
,onguto,osindo,osindo,Osindo,osindo,Onguto,olusindo,
,oshituviko,oshikamo,otshisiikilo,Oshisiikilo,otshisiikilo,Oshituviko,otshisiikilo,
,ongudo,okavundule,ongundo,Ongudo,ongundo,Ongudo,ongundo,
,,oombu,eembu,Eembuu,eembu,Eembuu,otshimbu,
,ekakala,ekakala,ekakala,Ekakala,ekakala,Ekakala,ekakala,
,oshivanda,oshaanda,otshaanda,Oshiyanda,otshaanda,Oshivanda,otshaanda,
,oshifukwa,oshifukwa,otshifukwa,Oshifukwa,oshifukwa,Oshifukwa,otshifukwa,
,ekango,ekango,ekango,Ekango,ekango,Ekango,ekango,
,,oituntu,etuntu,Etunhu,otshituntu,Oshitunhu,otshituntu,
,omwoongo,omugongo,omugongo,Omoongo,omugongo,Omwoongo,omugongo,
,omwenge,omweenge,omweenge,Omwenge,omweenge,Omweenge,omweenge,
,omwandi,omwandi,omwandi,Omwandi,omwandi,Omwandi,omwandi,
,etapo,ompamba,ompamba,etapo,ompamba,omhindo,ompamba,
,,omugolo,omugolo,Omoolo,omugolo,Omwoolo,omugolo,
,eka,eka,eka,Eka,eka,Eka,eka,
,onghete,enkete,enkete,Enghete,enkete,Enghete,enkete,
,epwaka,ehutu,epwaka,Epwaka,epwaka,Omapwaka,epwaka,
,,ewuni,ewuni,Euni,euni,Omauni,omawuni,
,,ekoka,ekoka,Ekoka,ekoka,Ekoka,ekoka,
,oshuupulo,oshihupulo,otshuupulo,Oshuupulo,otshuupulo,Oshixupulu,otshuupulo,
,ekuva,ekuya,ekuwa,Ekuya,ekuwa,Ekuva,ekuwa,
,omukekete,omushseshete,omutshetshete,Omukekete,omutshetshete,Omukekete,omutshetshete,
,oshikombo,newewe,otshikombo,Oshikombo,otshikombo,Oshikombo,ekombo,
,oshikombe,oshikombe,otshikombe,Oshikombe,otshikombe,Oshikombe,otshikombe,
,odopi,ondhopi,odhopi,Ondopi,ondhopi,Odopi,odhopi,
,oshikamule,ompendu,otshikamule,Oshikamule,otshikamule,Omendu,otshikamule,
,etelashe,etalahe,etalashe,Etalahe,etalashe,Etalashe,etelashe,
,iipeleki,iipeleki,iipeleki,Oipeleki,iipeleki,Iipeleki,iipeleki,
,ondungu,ondungu,ondungu,Ondungu,ondungu,Ondungu,ondungu,
,ohambo,ohambo,ohambo,Ohambo,ohambo,Ohambo,ohambo,
,iikoo,Iikogo,iikogo,Oikoo,iikogo,Oilemo,iikogo,
,odila,ondhila,odhila,Ovila,ondila,Odila,odhila,
,epuka,epuka,embaambala,Embaabala,embaambala,Oshipuka,embambala,
,ombaka,ombaka,ombaka,Ombaka,ombaka,Ombaka,ombaka,
,onghanga,onkanga,onkanga,Onghanga,onganga,Onghanga,onkanga,
,omayi,omayi,omahi,Omayi,omayi,Omayi,omayi,
,ongeleka,ongeleka,ongeleka,Ongeleka,ongeleka,Ongeleka,ongeleka,
,ombelewa,ombelewa,ombelewa,Ombelewa,ombelewa,Ombelewa,ombelewa,
,omusita ongalo,omusita gongalo,omusita gongalo,Omusita-Weongalo,omusita,Omufita-ongalo,omusita gongalo,
,aalongwa,aalongwa,aanasikola,Aanasikola,aanasikola,Ovanafikola,aanasikola,
,omusamane,omusamane,omusaane,Omusamane,omusaane,Omushamane,omusaane,
,olusheno,olusheno,olutsheno,Olusheno,olusheno,Olusheno,olusheno,
,endjandja,endjandja,endjandja,Endjadja,endjandja,Endjadja,endjandja,
,ondunga,ondunga,ondunga,Ondunga,ondunga,Ondunga,ondunga,
,omandjebele,omandjembele,omandjembele,Omandjembele,omandjembele,Omandjembele,omandjembele,
,omutete,omutete,omutete,Omutete,omutete,Omutete,omutete,
,omundilo,omulilo,omulilo,Omundilo,omundilo,Omundilo,omulilo,
,ombuto,ombuto,ombuto,Ombuto,omuto,Ombuto,ombuto,
,,oombimbo,oombibo,Eembibo,eembimbo,Embibo,,
,okuti,okuti,okuti,Okuti,okuti,Ofuka,okuti,
,ofenya,ofenya,ofenya,Ofenya,ofenya,Ofenya,ofenya,
,omakaya,omakaya,omakaya,Omakaya,omakaa,Omakaya,omakaa,
,Eendjuhwa,Oondjuhwa,Oondjushwa,Eehuhwa,eendjusha,Eexuxwa,,
,Uunona,Uunona,Uunona,Ounona,uunona,Ounona,,
,Opomba,Opomba,Opomba,Opomba,opomba,Opomba,,
,Uundingosho,Oondingosho,uundingosho,Eekefe,uundingosho,Eekamba,eekefe,
,Odalate,Odhalate,ondhalate,Ovalate,ondhalate,Odalate,odhalate,
,Okatokele,Okatokele,Okatokele,Katokele,okatokele,Okatokele,,
,Omawedo,Omayendo,Omahendo,Omaendo,omayendo,Omaendo,,
,Omakodhi,Omakodhi,omakodhi,Omakovi,omakodhi,Omakodi,omakodhi,
,oilyavala,iilyawala,iilyaalyaka(omutshokolo),omushokolo,omutshokolo,Oilyavala,omutshokolo,
,Onjeva,omagwe,omwaanga,Ondjea/Ondjeya,eendjendje,Ondjeva,omwaanga,
,Odelela,Odhelela,ompuku,Ovelela,ompuku,Odelela,ompuku,
,Omongwa,Omongwa,omongwa,Omongwa,omongwa,Omongwa,omongwa,
,Omasiga,Omasiga,omasiga,Omafiya,omasiga,Omafiya,omasiga,
,Eyemele,eyemele,ehela,Eela/Eyela,ehela,Evela,eehela,
,Oshigali,Oigali,otshigali,Oshingali,otshigali,Oshingali,otshigali,
,Ondjove,ondjengo,onzowe,Onzoye,omagadhi geengongo,Odjove,onzowe,
,Omashini,Omahini,omashini,Omahini,omashini,Omashini,omashini,
,idila,Ehela,ehela,omahini,ehela,Indila,ehela,
,Ipweda,Ipweya,I pwedha,Eela/Eyela,I pwedha,Iheda(ikoka),ipwedha,
,pukulula,pukurura,pukulula,pukulula,pukulula,pukulula,pukulula,
,Potokonona,Potokonona,potokonona,patukununa,potokonona,Hangu kununa,potokonona,
,Yelitha,Yelitha,yelitha,yelifa,yelitha,Yelifa,yelitha,
,Fudapo,fudhapo,fudhapo,fuvapo,thuwapo,Fudhapo,fudhapo,
,Okulitha,Okulitha,okulitha,okulifa,okulitha,Okulifa,okulitha,
,omahuku,omahuku,omuuku,omahuku,omuhuku,Omaxuku,omashuku,
,Ongava,Ongaya,ongawa,Ongaa/Ongaya,ongawa,Ongava,ongaaa,
,Ontsika,Ontsika,omatsika,Omhilwa,omatsika,Otwila,omatsika,
,Oshipanyala,oipetsu,otshipanyala,oshipatu,oshipanyala,oshipatu,otshipanyala,
,etiti,etiti,etiti,etiti,,Etiti,,
,eholo,eholo,eholo,eholo,,eholo,,
,oshikwiila,oshikwiila,oshima,ohima,,oshikwiila,,
,edji,enzi,enzi,ezi,,ezi,,
,ovili,otundi,owili,owili,,ovili,,
,Ondjatha,ondjatha,ondjatha,ondjafa,,ondjafa,,
,ondjeva,onyoka,ondiwi,onyoka,,ondjeva,,
,ovanyasha,aanyasha,aanyasha,aanyasha,aanyasha,ovanyasha,,
,ombidi,omboga,omboga,ombivi,omboga,ombidi,,
,oshipale,oshipale,olupale,oshipale,,oshipale,,
,oshikundu,ontaku,ontaku,oshikundu,,oshikundu,,
,eendjovo,oohapu,eehapu,eehapu,eehapu,Eendjovo,,
,ombelela,onyama,onyama,ombelela,,eembelela,,
,oshikuusinga,oshikuusinga,oshikuusinga,oshikuusinga,,oshiwilo,,
,omweelo,eelo,omweelo,omweelo,,omuvelo,,
,okandolo,okamanga,okamanga,okamanga,,Odolo,,
,eedhingu,oodhingu,eedingu,eevingu,,eedingu,,
,omwayi,omwayi,omwayi,omwai,,omwayi,,
,oshituthi,Oituthi,oshituthi,oshitufi,,oshituthi,oshitufi,oshituthi
,elimha,oshikule,elima,elima,,elima,elima,
,omazinyo,omazinyo,omazinyo,omainyo,,,,
,ekuva,ekwiya,ekuya,ekwiya,,,,
,ofulunga,,ofulunga,ofulunga,,,,
,okuyoga,okuyoga,okukosha,okukoha,,,,
,okunyola,okunyola,okuyoga,okushanga,,okukosha,,
,eeshongo,eehongo,eeshongo,eehogo,,,,
